0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
4.0,2.0,6.0,7.0,2.0,4.0,7.0,6.0,7.0,11.0,4.0,5.0,4.0,4.0,9.0,7.0,7.0,6.0,7.0,6.0,6.0,12.0,6.0,10.0,10.0,9.0,14.0,8.0,9.0,10.0,13.0,13.0
2.0,8.0,3.0,4.0,8.0,9.0,3.0,4.0,7.0,7.0,6.0,6.0,6.0,8.0,7.0,3.0,5.0,4.0,7.0,8.0,9.0,8.0,12.0,11.0,6.0,14.0,14.0,6.0,14.0,15.0,11.0,12.0
5.0,3.0,5.0,4.0,2.0,8.0,8.0,5.0,6.0,6.0,3.0,4.0,10.0,3.0,10.0,7.0,6.0,6.0,6.0,8.0,10.0,5.0,5.0,6.0,7.0,9.0,10.0,7.0,15.0,20.0,10.0,10.0
5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,7.0,11.0,3.0,3.0,4.0,6.0,6.0,8.0,9.0,5.0,4.0,6.0,8.0,4.0,9.0,10.0,6.0,10.0,9.0,7.0,14.0,18.0,16.0,13.0
4.0,4.0,4.0,4.0,2.0,3.0,3.0,6.0,7.0,9.0,5.0,6.0,6.0,5.0,8.0,5.0,5.0,3.0,7.0,6.0,10.0,10.0,12.0,8.0,8.0,8.0,14.0,6.0,14.0,20.0,12.0,13.0
5.0,3.0,5.0,3.0,3.0,2.0,5.0,6.0,6.0,9.0,4.0,5.0,10.0,5.0,7.0,10.0,6.0,11.0,4.0,6.0,11.0,7.0,10.0,5.0,9.0,15.0,10.0,5.0,12.0,15.0,19.0,19.0
4.0,2.0,5.0,9.0,7.0,6.0,2.0,4.0,5.0,7.0,7.0,8.0,4.0,5.0,3.0,6.0,7.0,10.0,5.0,7.0,6.0,6.0,10.0,5.0,9.0,10.0,10.0,12.0,9.0,11.0,11.0,13.0
2.0,9.0,2.0,2.0,6.0,2.0,9.0,10.0,7.0,6.0,3.0,6.0,5.0,5.0,6.0,4.0,4.0,8.0,9.0,7.0,9.0,11.0,7.0,6.0,12.0,8.0,13.0,8.0,13.0,10.0,13.0,17.0
4.0,5.0,4.0,4.0,6.0,3.0,9.0,10.0,8.0,7.0,6.0,7.0,3.0,4.0,5.0,4.0,16.0,6.0,12.0,7.0,4.0,6.0,5.0,4.0,10.0,9.0,10.0,9.0,12.0,17.0,11.0,9.0
6.0,5.0,6.0,6.0,4.0,3.0,2.0,7.0,7.0,6.0,7.0,5.0,4.0,5.0,6.0,9.0,8.0,8.0,11.0,6.0,15.0,6.0,6.0,4.0,9.0,9.0,13.0,7.0,12.0,16.0,13.0,14.0
4.0,5.0,2.0,4.0,5.0,5.0,2.0,3.0,5.0,6.0,11.0,8.0,3.0,3.0,6.0,6.0,8.0,9.0,8.0,5.0,8.0,7.0,7.0,9.0,9.0,12.0,5.0,6.0,11.0,13.0,13.0,12.0
9.0,7.0,3.0,3.0,3.0,5.0,3.0,3.0,7.0,4.0,2.0,6.0,9.0,7.0,6.0,7.0,8.0,5.0,6.0,6.0,8.0,8.0,11.0,7.0,10.0,7.0,9.0,14.0,12.0,20.0,19.0,16.0
5.0,4.0,3.0,3.0,5.0,4.0,3.0,9.0,12.0,5.0,6.0,11.0,7.0,10.0,4.0,11.0,5.0,9.0,12.0,4.0,13.0,7.0,6.0,8.0,7.0,8.0,12.0,10.0,21.0,17.0,12.0,4.0
8.0,5.0,7.0,5.0,3.0,8.0,3.0,12.0,9.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,13.0,8.0,8.0,15.0,10.0,7.0,8.0,14.0,13.0,14.0,11.0
3.0,6.0,9.0,9.0,4.0,4.0,3.0,4.0,10.0,8.0,11.0,6.0,6.0,6.0,6.0,9.0,5.0,5.0,4.0,7.0,10.0,5.0,7.0,5.0,7.0,10.0,10.0,10.0,14.0,21.0,13.0,12.0
3.0,4.0,6.0,4.0,6.0,2.0,5.0,5.0,4.0,7.0,11.0,12.0,6.0,3.0,4.0,4.0,6.0,7.0,7.0,5.0,7.0,10.0,7.0,8.0,11.0,8.0,9.0,6.0,21.0,21.0,14.0,13.0
3.0,5.0,5.0,5.0,5.0,9.0,5.0,4.0,5.0,5.0,11.0,10.0,8.0,4.0,6.0,7.0,13.0,5.0,4.0,6.0,12.0,12.0,7.0,10.0,8.0,19.0,15.0,8.0,20.0,14.0,10.0,13.0
4.0,9.0,6.0,4.0,6.0,4.0,8.0,11.0,6.0,4.0,4.0,3.0,7.0,1.0,6.0,8.0,4.0,11.0,4.0,9.0,10.0,5.0,8.0,11.0,14.0,8.0,6.0,9.0,15.0,20.0,12.0,9.0
5.0,4.0,9.0,5.0,4.0,6.0,3.0,5.0,6.0,5.0,6.0,3.0,11.0,7.0,5.0,8.0,6.0,7.0,12.0,8.0,10.0,8.0,6.0,5.0,8.0,9.0,13.0,9.0,15.0,17.0,13.0,9.0
5.0,3.0,10.0,3.0,3.0,8.0,2.0,6.0,7.0,5.0,7.0,11.0,12.0,4.0,6.0,6.0,7.0,5.0,12.0,7.0,8.0,8.0,6.0,6.0,13.0,9.0,14.0,7.0,12.0,13.0,14.0,8.0
4.0,7.0,2.0,6.0,3.0,2.0,3.0,7.0,12.0,7.0,8.0,4.0,6.0,4.0,7.0,9.0,8.0,3.0,7.0,7.0,8.0,7.0,5.0,5.0,11.0,14.0,10.0,10.0,11.0,13.0,15.0,10.0
9.0,6.0,4.0,3.0,3.0,4.0,4.0,10.0,5.0,3.0,10.0,4.0,7.0,6.0,4.0,4.0,6.0,9.0,9.0,8.0,10.0,7.0,7.0,8.0,12.0,13.0,9.0,7.0,15.0,14.0,15.0,8.0
5.0,9.0,3.0,5.0,7.0,3.0,5.0,4.0,5.0,6.0,4.0,3.0,7.0,7.0,6.0,7.0,5.0,4.0,6.0,6.0,10.0,8.0,8.0,12.0,16.0,8.0,10.0,8.0,15.0,22.0,20.0,18.0
4.0,9.0,5.0,4.0,10.0,8.0,4.0,4.0,8.0,7.0,4.0,10.0,5.0,3.0,3.0,6.0,6.0,7.0,7.0,6.0,12.0,8.0,6.0,9.0,8.0,9.0,11.0,8.0,16.0,15.0,10.0,18.0
5.0,4.0,5.0,4.0,11.0,4.0,4.0,6.0,6.0,4.0,11.0,4.0,5.0,12.0,11.0,7.0,12.0,8.0,13.0,7.0,9.0,6.0,13.0,13.0,14.0,14.0,10.0,10.0,18.0,13.0,13.0,18.0
6.0,2.0,5.0,5.0,3.0,3.0,6.0,4.0,8.0,11.0,7.0,7.0,7.0,7.0,13.0,6.0,7.0,12.0,14.0,5.0,8.0,9.0,7.0,9.0,12.0,9.0,12.0,7.0,16.0,16.0,14.0,13.0
5.0,3.0,4.0,4.0,4.0,2.0,11.0,4.0,4.0,5.0,6.0,5.0,11.0,6.0,4.0,6.0,9.0,7.0,8.0,6.0,10.0,12.0,8.0,12.0,11.0,11.0,15.0,7.0,14.0,14.0,14.0,14.0
4.0,9.0,6.0,4.0,3.0,4.0,5.0,3.0,11.0,3.0,5.0,11.0,7.0,5.0,11.0,5.0,8.0,8.0,7.0,4.0,11.0,7.0,11.0,8.0,7.0,11.0,8.0,7.0,21.0,19.0,10.0,14.0
10.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,8.0,3.0,3.0,11.0,5.0,7.0,10.0,7.0,8.0,7.0,12.0,13.0,6.0,11.0,9.0,11.0,15.0,8.0,12.0,15.0,10.0,17.0
9.0,4.0,5.0,8.0,3.0,10.0,4.0,5.0,7.0,7.0,10.0,4.0,11.0,11.0,5.0,7.0,11.0,8.0,8.0,5.0,11.0,7.0,7.0,8.0,14.0,12.0,12.0,8.0,15.0,15.0,10.0,14.0
3.0,6.0,5.0,10.0,10.0,6.0,4.0,5.0,5.0,6.0,11.0,7.0,10.0,4.0,6.0,6.0,9.0,9.0,8.0,12.0,19.0,8.0,7.0,6.0,11.0,17.0,12.0,10.0,16.0,14.0,11.0,9.0
3.0,3.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,11.0,9.0,6.0,10.0,7.0,6.0,12.0,9.0,6.0,4.0,8.0,16.0,13.0,9.0,8.0,10.0,11.0,7.0,15.0,15.0,12.0,11.0,16.0
3.0,4.0,4.0,6.0,5.0,4.0,3.0,8.0,4.0,6.0,5.0,5.0,8.0,10.0,10.0,9.0,15.0,8.0,14.0,6.0,12.0,14.0,12.0,17.0,9.0,10.0,9.0,7.0,19.0,16.0,15.0,15.0
5.0,9.0,6.0,6.0,3.0,7.0,10.0,5.0,10.0,7.0,4.0,12.0,8.0,5.0,7.0,12.0,11.0,8.0,8.0,8.0,13.0,7.0,8.0,9.0,12.0,17.0,10.0,18.0,15.0,15.0,13.0,18.0
6.0,2.0,6.0,6.0,5.0,8.0,6.0,2.0,6.0,7.0,4.0,6.0,5.0,5.0,11.0,7.0,12.0,9.0,6.0,14.0,13.0,7.0,7.0,8.0,13.0,14.0,13.0,11.0,18.0,12.0,12.0,13.0
3.0,5.0,8.0,7.0,9.0,4.0,2.0,6.0,7.0,6.0,6.0,4.0,5.0,11.0,4.0,3.0,18.0,13.0,12.0,9.0,13.0,9.0,9.0,13.0,16.0,17.0,8.0,10.0,16.0,16.0,14.0,18.0
3.0,10.0,5.0,4.0,5.0,8.0,10.0,3.0,8.0,5.0,5.0,6.0,8.0,8.0,4.0,9.0,10.0,5.0,8.0,9.0,15.0,10.0,6.0,6.0,16.0,10.0,12.0,9.0,16.0,13.0,11.0,17.0
3.0,5.0,5.0,2.0,7.0,3.0,9.0,6.0,9.0,7.0,6.0,5.0,8.0,6.0,5.0,5.0,18.0,10.0,9.0,8.0,14.0,8.0,7.0,10.0,17.0,14.0,12.0,9.0,19.0,16.0,10.0,18.0
6.0,7.0,6.0,4.0,2.0,5.0,2.0,7.0,14.0,12.0,9.0,11.0,11.0,8.0,7.0,8.0,15.0,6.0,13.0,7.0,12.0,10.0,8.0,14.0,13.0,10.0,12.0,9.0,19.0,13.0,10.0,16.0
6.0,3.0,4.0,6.0,4.0,5.0,5.0,8.0,7.0,6.0,6.0,5.0,11.0,8.0,7.0,10.0,12.0,9.0,9.0,10.0,21.0,10.0,8.0,8.0,12.0,12.0,11.0,12.0,18.0,15.0,20.0,12.0
6.0,7.0,3.0,0.0,4.0,6.0,4.0,5.0,11.0,8.0,7.0,9.0,10.0,8.0,6.0,8.0,13.0,12.0,15.0,13.0,17.0,10.0,11.0,12.0,10.0,10.0,10.0,8.0,21.0,17.0,14.0,16.0
3.0,2.0,8.0,5.0,3.0,3.0,9.0,5.0,11.0,9.0,4.0,9.0,11.0,10.0,9.0,14.0,13.0,8.0,15.0,19.0,23.0,16.0,9.0,10.0,19.0,11.0,8.0,13.0,20.0,18.0,15.0,13.0
4.0,3.0,2.0,8.0,3.0,2.0,10.0,8.0,11.0,9.0,6.0,10.0,11.0,8.0,6.0,14.0,18.0,13.0,10.0,19.0,15.0,16.0,10.0,10.0,15.0,11.0,12.0,13.0,19.0,22.0,15.0,13.0
4.0,8.0,4.0,10.0,8.0,5.0,3.0,9.0,11.0,6.0,7.0,16.0,11.0,11.0,7.0,14.0,14.0,9.0,8.0,21.0,19.0,16.0,12.0,15.0,12.0,13.0,10.0,20.0,18.0,17.0,10.0,21.0
4.0,2.0,3.0,6.0,5.0,6.0,3.0,7.0,9.0,8.0,4.0,11.0,14.0,14.0,14.0,12.0,13.0,11.0,10.0,16.0,19.0,17.0,9.0,18.0,12.0,13.0,18.0,10.0,23.0,22.0,12.0,20.0
3.0,4.0,5.0,4.0,4.0,3.0,10.0,6.0,12.0,12.0,8.0,16.0,15.0,12.0,8.0,13.0,15.0,9.0,13.0,22.0,18.0,13.0,10.0,13.0,12.0,12.0,15.0,12.0,27.0,19.0,14.0,22.0
5.0,3.0,2.0,4.0,3.0,4.0,8.0,6.0,12.0,11.0,6.0,16.0,14.0,18.0,14.0,13.0,21.0,9.0,13.0,16.0,19.0,13.0,11.0,15.0,12.0,11.0,12.0,12.0,23.0,17.0,17.0,21.0
5.0,3.0,2.0,8.0,4.0,6.0,3.0,6.0,10.0,11.0,9.0,11.0,13.0,18.0,9.0,11.0,16.0,10.0,14.0,15.0,19.0,15.0,9.0,11.0,14.0,13.0,13.0,14.0,20.0,16.0,13.0,13.0
4.0,9.0,4.0,8.0,6.0,6.0,6.0,7.0,11.0,16.0,6.0,9.0,12.0,13.0,11.0,15.0,23.0,11.0,10.0,15.0,17.0,16.0,11.0,18.0,16.0,13.0,18.0,13.0,21.0,24.0,16.0,13.0
4.0,5.0,3.0,4.0,2.0,6.0,6.0,6.0,10.0,14.0,6.0,6.0,15.0,12.0,12.0,13.0,18.0,10.0,17.0,16.0,20.0,14.0,12.0,10.0,12.0,14.0,13.0,13.0,30.0,18.0,11.0,15.0
4.0,5.0,4.0,4.0,10.0,6.0,3.0,4.0,9.0,17.0,10.0,11.0,14.0,12.0,12.0,13.0,15.0,10.0,12.0,18.0,21.0,13.0,16.0,12.0,15.0,11.0,12.0,11.0,18.0,20.0,15.0,17.0
8.0,3.0,4.0,3.0,5.0,5.0,6.0,7.0,8.0,18.0,9.0,7.0,14.0,11.0,11.0,17.0,14.0,15.0,12.0,15.0,23.0,11.0,13.0,14.0,14.0,15.0,12.0,13.0,27.0,19.0,18.0,16.0
4.0,5.0,2.0,1.0,3.0,9.0,7.0,6.0,10.0,12.0,8.0,13.0,12.0,11.0,17.0,12.0,15.0,10.0,13.0,17.0,21.0,12.0,10.0,12.0,12.0,16.0,14.0,15.0,29.0,18.0,15.0,12.0
3.0,5.0,5.0,8.0,2.0,6.0,10.0,3.0,11.0,9.0,9.0,9.0,10.0,13.0,16.0,15.0,14.0,12.0,21.0,18.0,22.0,15.0,18.0,12.0,11.0,14.0,13.0,12.0,29.0,24.0,18.0,16.0
4.0,7.0,9.0,4.0,7.0,7.0,10.0,4.0,6.0,13.0,7.0,12.0,9.0,11.0,12.0,12.0,19.0,18.0,18.0,14.0,22.0,14.0,11.0,20.0,19.0,13.0,14.0,13.0,31.0,17.0,12.0,21.0
3.0,3.0,4.0,4.0,7.0,4.0,5.0,4.0,8.0,11.0,9.0,5.0,14.0,9.0,13.0,14.0,15.0,17.0,14.0,15.0,17.0,13.0,18.0,18.0,15.0,17.0,13.0,14.0,20.0,19.0,13.0,11.0
1.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,7.0,11.0,6.0,12.0,9.0,10.0,11.0,11.0,19.0,10.0,22.0,22.0,23.0,15.0,12.0,14.0,17.0,13.0,16.0,12.0,23.0,22.0,15.0,16.0
1.0,4.0,5.0,2.0,3.0,3.0,5.0,6.0,8.0,9.0,9.0,5.0,10.0,12.0,12.0,7.0,15.0,17.0,16.0,18.0,23.0,14.0,12.0,19.0,14.0,18.0,14.0,15.0,30.0,24.0,16.0,12.0
7.0,6.0,4.0,1.0,4.0,6.0,11.0,6.0,7.0,9.0,9.0,6.0,12.0,12.0,9.0,9.0,15.0,16.0,21.0,17.0,22.0,14.0,14.0,13.0,16.0,23.0,12.0,13.0,31.0,22.0,18.0,17.0
7.0,4.0,2.0,6.0,4.0,4.0,9.0,3.0,13.0,13.0,7.0,7.0,10.0,10.0,16.0,10.0,13.0,14.0,14.0,16.0,22.0,19.0,17.0,19.0,21.0,15.0,13.0,16.0,23.0,25.0,22.0,17.0
2.0,3.0,7.0,4.0,8.0,5.0,8.0,2.0,6.0,8.0,9.0,6.0,7.0,11.0,9.0,9.0,21.0,14.0,17.0,18.0,20.0,14.0,11.0,14.0,25.0,24.0,15.0,17.0,24.0,20.0,14.0,15.0
3.0,1.0,3.0,1.0,4.0,6.0,4.0,8.0,6.0,8.0,6.0,4.0,11.0,11.0,10.0,16.0,17.0,15.0,13.0,18.0,26.0,15.0,16.0,13.0,18.0,23.0,13.0,20.0,23.0,20.0,22.0,16.0
8.0,1.0,3.0,2.0,2.0,3.0,4.0,6.0,8.0,11.0,5.0,7.0,8.0,11.0,12.0,9.0,23.0,13.0,13.0,23.0,21.0,15.0,20.0,15.0,21.0,24.0,13.0,15.0,33.0,21.0,19.0,22.0
3.0,2.0,5.0,3.0,3.0,3.0,3.0,7.0,6.0,15.0,7.0,6.0,11.0,10.0,14.0,13.0,18.0,15.0,14.0,15.0,19.0,15.0,16.0,21.0,21.0,21.0,14.0,18.0,21.0,20.0,12.0,12.0
1.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,7.0,10.0,12.0,12.0,8.0,12.0,10.0,10.0,16.0,11.0,16.0,18.0,27.0,17.0,12.0,16.0,17.0,17.0,17.0,15.0,34.0,30.0,19.0,19.0
8.0,4.0,4.0,4.0,4.0,4.0,9.0,5.0,7.0,5.0,7.0,5.0,8.0,9.0,10.0,11.0,18.0,14.0,16.0,19.0,28.0,14.0,17.0,15.0,19.0,21.0,12.0,14.0,22.0,22.0,14.0,16.0
2.0,4.0,0.0,5.0,2.0,3.0,8.0,6.0,8.0,9.0,10.0,6.0,9.0,8.0,10.0,14.0,18.0,19.0,17.0,15.0,20.0,18.0,23.0,19.0,23.0,24.0,15.0,17.0,23.0,24.0,19.0,17.0
2.0,4.0,7.0,3.0,6.0,3.0,4.0,3.0,8.0,10.0,10.0,5.0,8.0,9.0,7.0,10.0,18.0,15.0,21.0,14.0,20.0,17.0,13.0,19.0,22.0,26.0,14.0,21.0,31.0,24.0,22.0,23.0
6.0,6.0,3.0,9.0,4.0,6.0,3.0,5.0,6.0,7.0,7.0,13.0,13.0,12.0,15.0,10.0,18.0,13.0,17.0,21.0,20.0,24.0,15.0,18.0,24.0,20.0,22.0,20.0,23.0,31.0,16.0,23.0
1.0,4.0,2.0,8.0,10.0,3.0,10.0,5.0,9.0,10.0,8.0,6.0,9.0,10.0,8.0,8.0,14.0,19.0,14.0,23.0,29.0,17.0,18.0,16.0,21.0,26.0,13.0,24.0,35.0,24.0,25.0,14.0
9.0,2.0,4.0,2.0,3.0,10.0,5.0,7.0,8.0,14.0,8.0,5.0,9.0,10.0,11.0,15.0,14.0,19.0,23.0,16.0,28.0,17.0,16.0,25.0,22.0,32.0,23.0,23.0,32.0,27.0,22.0,14.0
5.0,8.0,4.0,2.0,4.0,7.0,6.0,10.0,7.0,13.0,7.0,7.0,9.0,10.0,10.0,9.0,16.0,20.0,21.0,17.0,23.0,17.0,15.0,18.0,22.0,28.0,18.0,21.0,26.0,26.0,15.0,25.0
5.0,6.0,4.0,6.0,5.0,10.0,5.0,5.0,6.0,10.0,8.0,4.0,12.0,11.0,10.0,11.0,17.0,13.0,22.0,23.0,23.0,22.0,15.0,18.0,29.0,24.0,19.0,26.0,36.0,31.0,16.0,15.0
3.0,3.0,1.0,2.0,4.0,2.0,3.0,6.0,4.0,10.0,13.0,4.0,9.0,9.0,10.0,15.0,22.0,22.0,20.0,16.0,23.0,23.0,15.0,24.0,24.0,26.0,19.0,23.0,37.0,35.0,16.0,20.0
5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,11.0,13.0,6.0,4.0,9.0,10.0,12.0,7.0,20.0,18.0,24.0,22.0,25.0,19.0,16.0,19.0,34.0,27.0,20.0,28.0,27.0,34.0,18.0,16.0
